,Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
6481,2013,15,103328,103328,Melbourne (CBD),Cone Heads,8 Flinders Street MELBOURNE 3000,Takeaway Food Services,144.965086,-37.81766,"-37.81765995462749, 144.96508581705",3000,https://www.google.com/search?q=Cone+Heads+Melbourne,Cafe
6485,2013,15,103943,103943,Melbourne (CBD),RMB Cafe Bar,37 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,144.9654761,-37.817103,"-37.81710292815, 144.96547612714323",3000,https://www.google.com/search?q=RMB+Cafe+Bar+Melbourne,Cafe
6496,2013,15,104014,104014,Melbourne (CBD),Cafe On Flinders,"Shop 29, 228 Flinders Street MELBOURNE 3000",Cafes and Restaurants,144.966552,-37.817248,"-37.81724823175786, 144.9665515918",3000,https://www.google.com/search?q=Cafe+On+Flinders+Melbourne,Cafe
6499,2013,15,104014,104014,Melbourne (CBD),Jolly J's,"Shop 8,  Flinders Street MELBOURNE 3000",Cafes and Restaurants,144.966552,-37.817248,"-37.81724823175786, 144.9665515918",3000,https://www.google.com/search?q=Jolly+J's+Melbourne,Cafe
6500,2013,15,109258,109258,Melbourne (CBD),McDonalds,"Ground , 9-11 Swanston Street MELBOURNE 3000",Cafes and Restaurants,144.9669306,-37.817239,"-37.8172393345, 144.96693058507103",3000,https://www.google.com/search?q=McDonalds+Melbourne,Fast Food
6503,2013,16,104930,104930,Melbourne (CBD),Hoboken Cafe,"Part Ground 0, 3-5 Hosier Lane MELBOURNE 3000",Cafes and Restaurants,144.9690182,-37.816509,"-37.816509081350006, 144.96901817912817",3000,https://www.google.com/search?q=Hoboken+Cafe+Melbourne,Cafe
6506,2013,17,103591,103591,Melbourne (CBD),Coco Latte Cafe,"Shop 4, 9 Exhibition Street MELBOURNE 3000",Cafes and Restaurants,144.972041,-37.815843,"-37.815842702573576, 144.972040983",3000,https://www.google.com/search?q=Coco+Latte+Cafe+Melbourne,Cafe
6509,2013,17,103921,103921,Melbourne (CBD),Papa Goose,91 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,144.971218,-37.815413,"-37.81541282961696, 144.97121779675",3000,https://www.google.com/search?q=Papa+Goose+Melbourne,Australian
6510,2013,17,103922,103922,Melbourne (CBD),Lot 7,95-101 Flinders Lane MELBOURNE 3000,Cafes and Restaurants,144.971099,-37.815527,"-37.8155271957592, 144.97109866785",3000,https://www.google.com/search?q=Lot+7+Melbourne,Cafe
6512,2013,17,103924,103924,Melbourne (CBD),Bambu Bar,"Basement , 107 Flinders Lane MELBOURNE 3000","Pubs, Taverns and Bars",144.970834,-37.815607,"-37.815606546589706, 144.970834384",3000,https://www.google.com/search?q=Bambu+Bar+Melbourne,Asian
